activ	provin	anio
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2015
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2016
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	AZUAY	2017
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2015
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2016
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	BOLIVAR	2017
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2015
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2016
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	CAÑAR	2017
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2015
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2016
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	ESMERALDAS	2017
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2015
9	GUAYAS	2016
9	GUAYAS	2016
9	GUAYAS	2016
9	GUAYAS	2016
9	GUAYAS	2016
